match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1422133,Royal Challengers Bengaluru,RJW Topley,4.0,0,39,1,9.75,11,3,3,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422133,Royal Challengers Bengaluru,Yash Dayal,4.0,0,24,1,6.0,12,2,1,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422134,Delhi Capitals,A Nortje,4.0,0,59,3,14.75,6,5,4,2,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,AR Patel,1.0,0,18,0,18.0,0,1,2,0,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,I Sharma,3.0,0,43,2,14.33,5,5,3,0,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,KK Ahmed,4.1,0,43,1,10.32,11,3,2,6,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,MR Marsh,3.0,0,37,1,12.33,4,3,2,4,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,Rasikh Salam,3.0,0,47,0,15.67,5,4,4,1,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Delhi Capitals,Sumit Kumar,2.0,0,19,0,9.5,2,1,1,0,0,Delhi Capitals vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,AD Russell,1.2,1,14,1,10.5,4,0,2,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,CV Varun,4.1,0,32,3,7.68,9,2,2,2,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,MA Starc,3.0,0,25,2,8.33,9,2,2,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,SP Narine,4.0,0,29,1,7.25,11,0,3,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,VG Arora,4.0,0,27,3,6.75,13,4,0,3,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422134,Kolkata Knight Riders,VR Iyer,1.0,0,28,0,28.0,0,4,2,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1422135,Gujarat Titans,Azmatullah Omarzai,4.0,0,41,1,10.25,5,7,0,1,0,Gujarat Titans vs Punjab Kings
1422135,Gujarat Titans,DG Nalkande,0.5,0,6,1,7.2,2,1,0,1,0,Gujarat Titans vs Punjab Kings
1422135,Gujarat Titans,MM Sharma,4.0,0,38,1,9.5,5,2,2,0,0,Gujarat Titans vs Punjab Kings
1422135,Gujarat Titans,Noor Ahmad,4.0,0,32,2,8.0,9,2,1,2,0,Gujarat Titans vs Punjab Kings
1422135,Gujarat Titans,Rashid Khan,4.0,0,40,1,10.0,5,2,3,0,0,Gujarat Titans vs Punjab Kings
1422135,Gujarat Titans,UT Yadav,3.0,0,35,1,11.67,6,4,2,0,0,Gujarat Titans vs Punjab Kings
1422135,Punjab Kings,Arshdeep Singh,4.0,0,33,0,8.25,5,4,0,0,0,Punjab Kings vs Punjab Kings
1422135,Punjab Kings,HV Patel,4.0,0,44,1,11.0,3,2,2,3,0,Punjab Kings vs Punjab Kings
1422135,Punjab Kings,Harpreet Brar,4.0,0,33,1,8.25,10,3,1,0,0,Punjab Kings vs Punjab Kings
1422135,Punjab Kings,K Rabada,4.0,0,44,2,11.0,6,5,2,1,0,Punjab Kings vs Punjab Kings
1422135,Punjab Kings,SM Curran,2.0,0,18,0,9.0,3,3,0,0,0,Punjab Kings vs Punjab Kings
1422135,Punjab Kings,Sikandar Raza,2.0,0,22,0,11.0,2,4,0,0,0,Punjab Kings vs Punjab Kings
1422136,Chennai Super Kings,DL Chahar,3.1,0,32,1,10.11,9,2,3,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,M Theekshana,4.0,0,27,1,6.75,8,3,0,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,MM Ali,3.0,0,23,2,7.67,5,0,1,1,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,Mukesh Choudhary,1.1,0,27,0,23.14,2,2,3,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,R Ravindra,1.0,0,3,0,3.0,3,0,0,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,RA Jadeja,4.0,0,30,0,7.5,5,1,1,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Chennai Super Kings,TU Deshpande,2.0,0,20,0,10.0,3,4,0,0,0,Chennai Super Kings vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,Abhishek Sharma,1.0,0,7,0,7.0,2,1,0,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,B Kumar,4.0,0,28,1,7.0,11,3,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,JD Unadkat,4.0,0,29,1,7.25,7,3,0,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,M Markande,2.0,0,21,0,10.5,0,1,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,PJ Cummins,4.0,0,29,1,7.25,9,2,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,Shahbaz Ahmed,1.0,0,11,1,11.0,3,1,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422136,Sunrisers Hyderabad,T Natarajan,4.0,0,39,1,9.75,6,3,2,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422137,Rajasthan Royals,Avesh Khan,4.0,0,46,0,11.5,3,8,0,0,0,Rajasthan Royals vs Royal Challengers Bengaluru
1422137,Rajasthan Royals,N Burger,4.0,0,33,1,8.25,10,3,1,2,0,Rajasthan Royals vs Royal Challengers Bengaluru
1422137,Rajasthan Royals,R Ashwin,4.0,0,28,0,7.0,5,0,1,1,0,Rajasthan Royals vs Royal Challengers Bengaluru
